EstablishmentID,EstablishmentNumber,EstablishmentName,State,ProjectCode,ProjectName,FormID,CollectionDate,SampleSource,SalmonellaSPAnalysis,SalmonellaSerotype,SalmonellaPFGEPattern,SalmonellaAlleleCode,SalmonellaFSISNumber,SalmonellaAMRResistanceProfile,CampylobacterAnalysis1ml,CampylobacterAnalysis30ml,CampylobacterSpecies,CampylobacterPFGEPattern,CampylobacterAlleleCode,CampyFSISNumber,CampyAMRResistanceProfile,Weekday,Longitude,Latitude,WeatherDate_Day0,MaxTemp_Day0,MinTemp_Day0,AverageTemp_Day0,Precipitation_Day0,Humidity_Day0,PrecipType_Day0,Snow_Day0,SnowDepth_Day0,WindGust_Day0,WindSpeed_Day0,WindDirection_Day0,Pressure_Day0,CloudCover_Day0,Visibility_Day0,Solar Radiation_Day0,DEW_Day0,WeatherDate_Day1,MaxTemp_Day1,MinTemp_Day1,AverageTemp_Day1,Precipitation_Day1,Humidity_Day1,PrecipType_Day1,Snow_Day1,SnowDepth_Day1,WindGust_Day1,WindSpeed_Day1,WindDirection_Day1,Pressure_Day1,CloudCover_Day1,Visibility_Day1,Solar Radiation_Day1,DEW_Day1,WeatherDate_Day2,MaxTemp_Day2,MinTemp_Day2,AverageTemp_Day2,Precipitation_Day2,Humidity_Day2,PrecipType_Day2,Snow_Day2,SnowDepth_Day2,WindGust_Day2,WindSpeed_Day2,WindDirection_Day2,Pressure_Day2,CloudCover_Day2,Visibility_Day2,Solar Radiation_Day2,DEW_Day2,WeatherDate_Day3,MaxTemp_Day3,MinTemp_Day3,AverageTemp_Day3,Precipitation_Day3,Humidity_Day3,PrecipType_Day3,Snow_Day3,SnowDepth_Day3,WindGust_Day3,WindSpeed_Day3,WindDirection_Day3,Pressure_Day3,CloudCover_Day3,Visibility_Day3,Solar Radiation_Day3,DEW_Day3,Numerical_Weekday
7855,P21234,Perdue Foods LLC,GA,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103059573,2022-10-02 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Sunday,-83.8174386,34.2669119,2022-10-02,77,54,63.8,0,62.7,,0,0,17.7,11.4,329.8,1014.7,27.8,9.9,227.5,50.3,2022-10-01,74,59,64.6,0,58.4,,0,0,30,18.3,323.6,1010.2,44.1,9.9,214.3,49.4,2022-09-30,73.1,56,64.3,0,53,,0,0,31.5,13.9,34.5,1013.5,56,9.9,99,46.7,2022-09-29,71.1,50,60,0,52.2,,0,0,36.9,23,54.3,1021.1,5.3,9.9,231.1,41.7,
3,P40,Pilgrim's Pride Corporation,GA,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103059112,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-83.826709,34.2854113,2022-10-03,77,53,64.3,0,65.5,,0,0,17.4,9.2,77,1019,26.3,9.9,217.9,51.7,2022-10-02,77,53.9,63.8,0,62.7,,0,0,17.7,11.4,329.8,1014.7,27.9,9.9,227.5,50.3,2022-10-01,74,59,64.5,0,58.4,,0,0,30,18.3,323.6,1010.2,44.2,9.9,214.3,49.4,2022-09-30,73.1,56,64.3,0,53,,0,0,31.5,13.9,34.5,1013.5,56.1,9.9,99,46.7,1
9,P177,Pilgrim's Pride Corporation,GA,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103053683,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-83.826709,34.2854113,2022-10-03,77,53,64.3,0,65.5,,0,0,17.4,9.2,77,1019,26.3,9.9,217.9,51.7,2022-10-02,77,53.9,63.8,0,62.7,,0,0,17.7,11.4,329.8,1014.7,27.9,9.9,227.5,50.3,2022-10-01,74,59,64.5,0,58.4,,0,0,30,18.3,323.6,1010.2,44.2,9.9,214.3,49.4,2022-09-30,73.1,56,64.3,0,53,,0,0,31.5,13.9,34.5,1013.5,56.1,9.9,99,46.7,1
15,P243,"Tyson Foods, Inc.",GA,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103059992,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-84.1426892,34.2055162,2022-10-03,75.1,51.7,63.2,0,68.9,,0,0,14.3,8.6,40.5,1019.4,23,9.9,225.2,51.9,2022-10-02,76.1,53.6,63.4,0,64.2,,0,0,23.3,9.3,328.7,1015.1,19.9,9.9,215.8,50.5,2022-10-01,73.8,56.7,63.7,0,59.5,,0,0,36.7,14.4,316.7,1010.7,30.8,9.9,187.6,49.1,2022-09-30,73.9,56.8,64.7,0,53.3,,0,0,33.3,12.1,26.3,1013.7,62.1,9.9,131.1,47.2,1
32,P646,"JCG Foods of Georgia, LLC",GA,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103056701,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Positive,C. coli,,FSIS_Camp - | 03/29/2023,FSIS32208228,Pan-Susceptible,Monday,-85.047525,34.0172059,2022-10-03,75.6,50.9,62.9,0,68.7,,0,0,18.3,7,350.6,1019.6,9.1,9.9,4.2,51.6,2022-10-02,72.7,53.9,62.1,0,68.5,,0,0,29.1,14.9,345.6,1016.3,4.4,9.9,4,51,2022-10-01,77.1,51.2,63.8,0,57,,0,0,21.9,12.7,333.2,1012,5.4,9.9,4.2,47.8,2022-09-30,77.5,51.7,63.5,0,57.5,,0,0,23,10.4,341.8,1014.6,30.2,9.9,4.2,47,1
60,P2632,Pilgrim's Pride Corporation,FL,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103054397,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-83.159205,30.3709814,2022-10-03,74.8,56.4,64.7,0,75.5,,0,0,20.7,11,20.2,1017.1,37.7,9,252.3,55.9,2022-10-02,83.9,52.6,68.2,0,67.4,,0,0,20.8,12.5,321.1,1013.5,0,8.9,268.3,54.5,2022-10-01,84.6,54.1,68.2,0,73.6,,0,0,20.8,10.3,256.4,1011.3,2.8,9.3,263.4,57.3,2022-09-30,77.3,62.6,69.4,0,59.5,,0,0,21.9,13,343,1009.9,67.1,9.9,216.6,54.4,1
562,P445,"Wayne Farms, LLC",NC,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103054704,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-80.7123242,36.3907541,2022-10-03,67.4,50.1,58.6,0,68.1,,0,0,17.2,7.8,10.5,1021.4,68,9.9,146.1,47.6,2022-10-02,58,51.6,55,0.038,81.8,rain,0,0,23.3,7.7,340.2,1016.1,98.7,9.9,40.1,49.5,2022-10-01,59.5,52.4,55,1.252,87.2,rain,0,0,31.1,12.2,340.9,1009.4,100,7.6,50.5,51.1,2022-09-30,56.2,51.4,53.8,1.216,77.5,rain,0,0,29.2,14.5,21.9,1016.9,68.9,9.2,30.9,46.8,1
567,M7478+P1,"Tyson Foods, Inc.",NC,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103056152,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-81.16295,36.14328,2022-10-03,66,50.4,57.7,0,74.5,,0,0,20.8,8.9,14.1,1022.2,83.3,9.9,109.2,49.2,2022-10-02,60.5,46.8,54.4,0,82.3,,0,0,25.3,8.9,339.5,1017.1,94.4,9.9,59.8,48.9,2022-10-01,58.6,51.5,54.1,0.186,85.7,rain,0,0,22.4,12.2,318.7,1010.6,100,9.6,60.8,49.8,2022-09-30,54.1,48.4,51.8,0.997,83.2,rain,0,0,31.4,18,11.9,1017.3,79.6,8.9,26.5,46.8,1
578,P510,House Of Raeford Farms,NC,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103053631,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-78.0323759,34.8589759,2022-10-03,58.8,52.2,56,0.008,87,rain,0,0,27.7,14.7,2.6,1018.1,99.9,8.8,73,52.1,2022-10-02,67.9,58.6,63,0.008,82.4,rain,0,0,24.4,10.1,321,1012.8,84.6,9.5,142.1,57.2,2022-10-01,74.5,60.7,66,0,76.7,,0,0,32.4,14.1,211.7,1008.5,89.5,9.6,136.9,58.2,2022-09-30,73.3,58.8,64.3,2.578,95.1,rain,0,0,35.3,22.4,51.2,1007.5,100,6,32.1,62.8,1
586,P1201,Pilgrim's Pride Corporation,NC,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103057585,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-79.2349264,35.5607976,2022-10-03,67.2,49.4,56.9,0.008,77.4,rain,0,0,30.6,16.8,13.4,1019.3,74.5,9.2,146.3,48.8,2022-10-02,64.1,47.7,56.2,0,92.8,,0,0,29.3,11.2,348.1,1013.7,78,8.1,85,53.9,2022-10-01,64,55.9,59.4,0.015,94.2,rain,0,0,23,11.4,188.8,1007.4,100,8,57,57.7,2022-09-30,62.7,54.4,57.5,2.815,92.2,rain,0,0,41.1,27,32.1,1010,100,7.2,22.1,54.9,1
672,P7987,"Amick Farms, LLC",SC,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103053209,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-81.6370935,33.9551838,2022-10-03,67.8,53.2,61,0,73.7,,0,0,26.2,13.9,23.6,1018.9,73.2,9.9,90.3,52.2,2022-10-02,71.8,55,63.5,0,71.2,,0,0,23,11,5.1,1014.2,79.3,9.8,110,53.3,2022-10-01,70.2,57.5,63.2,0.003,81.9,rain,0,0,28,10,289.9,1009.4,96,9.9,54.2,57.3,2022-09-30,63.5,56.6,59.1,0.767,80.7,rain,0,0,34.4,21.1,360,1009.8,100,8.6,13.2,52.7,1
696,P9197,"Perdue Foods, LLC.",NC,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103056197,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-77.6339492,35.7026113,2022-10-03,57.9,51.2,54,0.007,88.3,rain,0,0,31.1,14.9,354.3,1018.2,100,8.6,48.6,50.5,2022-10-02,68.9,58,62.5,0.006,85.2,rain,0,0,25.3,11.6,330.5,1012.4,92.9,9.4,170.1,57.7,2022-10-01,70.7,59.7,65.4,0.041,80.8,rain,0,0,29.5,11.3,191.9,1008.3,95.7,9.9,132.7,59.1,2022-09-30,71.5,58.8,63.8,1.779,92.6,rain,0,0,36.2,21.9,36.4,1010.8,99.4,6.1,20.7,61.5,1
696,P9197,"Perdue Foods, LLC.",NC,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103058559,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-77.6339492,35.7026113,2022-10-03,57.9,51.2,54,0.007,88.3,rain,0,0,31.1,14.9,354.3,1018.2,100,8.6,48.6,50.5,2022-10-02,68.9,58,62.5,0.006,85.2,rain,0,0,25.3,11.6,330.5,1012.4,92.9,9.4,170.1,57.7,2022-10-01,70.7,59.7,65.4,0.041,80.8,rain,0,0,29.5,11.3,191.9,1008.3,95.7,9.9,132.7,59.1,2022-09-30,71.5,58.8,63.8,1.779,92.6,rain,0,0,36.2,21.9,36.4,1010.8,99.4,6.1,20.7,61.5,1
734,P18285,Perdue Foods LLC,SC,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103056125,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-79.4122087,34.4798071,2022-10-03,64.6,54.3,58.8,0,75.8,,0,0,33.3,12.8,10.4,1018.5,87.2,9.8,48.9,51,2022-10-02,69.9,53.7,62.1,0,74,,0,0,25.9,11.1,335.7,1013.6,63.5,9.7,105.7,53,2022-10-01,72.3,55.4,62.1,0,77.2,,0,0,23.3,11.8,240.1,1008.6,94.6,8.7,74,54.4,2022-09-30,63.4,55.4,59.6,2.887,85.2,rain,0,0,48.1,30.5,11.9,1004.5,99.1,5.9,17.4,55,1
1906,M810+P810,Pilgrim's Pride Corporation,WV,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103055292,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-78.9698756,39.0597322,2022-10-03,60.3,44.8,51.7,0.007,78.6,rain,0,0,19.7,10.1,28.5,1023.3,65.7,9.2,148.1,44.4,2022-10-02,55.7,52.1,54,0.189,97.5,rain,0,0,20.8,10,20.1,1016.8,100,6.9,23.8,53.3,2022-10-01,55.5,50.1,52.6,0.427,98.7,rain,0,0,26.3,17.7,16.5,1012.9,100,4.9,28,52.2,2022-09-30,56.1,42.1,50.4,0.209,86.9,rain,0,0,20.6,9.8,16,1023.5,46,8.9,74.8,46.4,1
2160,P19112,Perdue Foods LLC,KY,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103056558,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Positive,C. coli,,FSIS_Camp - 30.32.66 | 03/29/2023,FSIS12216457,Pan-Susceptible,Monday,-86.7939417,37.3479455,2022-10-03,74,50.7,61.5,0,63,,0,0,19.7,9.9,36,1023.2,0.9,9.9,40.5,47.7,2022-10-02,76.3,51.7,63.4,0,56.5,,0,0,20.8,10.1,22.2,1021,0,9.9,40.4,46.7,2022-10-01,76.9,48,61.8,0,54.6,,0,0,21.7,8.8,2.2,1017,0,9.9,43.4,43.2,2022-09-30,74.3,47,60.3,0,63.3,,0,0,23,11.3,32.7,1020.2,0,9.9,45.2,46.3,1
2197,P20245,"Keystone Foods, LLC",KY,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103054778,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-85.1795263,36.7587539,2022-10-03,69.9,50.5,59.7,0,70.5,,0,0,19.2,11.1,46,1022.5,32.9,9.9,212.7,49.2,2022-10-02,70.1,51.7,60.1,0,66.6,,0,0,21.9,13,24.4,1019.8,31.5,9.9,210.2,48.6,2022-10-01,72.6,48,59.7,0,59.7,,0,0,24.2,13.3,10.3,1015.2,15.6,9.9,209.5,44.8,2022-09-30,72.1,45.7,58,0,64.3,,0,0,21.3,11.8,37,1018.8,0.2,9.9,222.8,43.7,1
2214,P3,"Mountaire Farms of
Delaware, Inc.",DE,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103056673,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-75.2207437,38.4603917,2022-10-03,54.4,49.7,52,0.646,95.4,rain,0,0,36.7,23.1,12.8,1017.2,100,7.1,39.5,50.7,2022-10-02,66.4,52.7,62,0.777,97.3,rain,0,0,39.4,24.8,28.3,1012.5,100,6.2,37.8,61.3,2022-10-01,70.3,64.6,67.5,1.358,97.7,rain,0,0,36.8,22.7,51.8,1010.6,100,4.9,66.8,66.9,2022-09-30,65.1,61.2,63,0.359,80.1,rain,0,0,36.4,22,50.6,1020.4,67.1,9.3,38.7,56.7,1
2260,P935,Allen Harim LLC,DE,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103060678,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-75.2843623,38.7210085,2022-10-03,52.2,49.9,50.9,0.617,91.6,rain,0,0,34.3,22.8,18.7,1018.5,100,7.3,37,48.6,2022-10-02,65.9,53.5,61.3,0.487,93.1,rain,0,0,36,21.9,30.3,1013.4,100,7.2,35.6,59.2,2022-10-01,70.9,64.1,66.8,1.618,94,rain,0,0,37,26.1,51.1,1011.2,100,6.3,77,65,2022-09-30,65.9,60.9,62.5,0.111,76.6,rain,0,0,34.6,21.8,50.3,1021.2,51.7,9.6,46.6,55,1
2278,P2178,PERDUE FOODS LLC,DE,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103056203,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Positive,C. jejuni,,"FSIS_Camp - 2019.2421.3440.5198.7253 |
03/29/2023",FSIS22210314,Cip Nal,Monday,-75.3820922,38.6980472,2022-10-03,52.1,50,51,0.628,91.4,rain,0,0,34.5,23,19.5,1018.5,100,7.2,27,48.5,2022-10-02,65.9,53.6,61.3,0.476,93,rain,0,0,36.2,21.9,30.5,1013.5,100,7.2,32.7,59.2,2022-10-01,71,64.1,66.8,1.643,94.1,rain,0,0,37.1,26.4,51.2,1011.2,100,6.3,58.3,65,2022-09-30,65.9,61.1,62.6,0.105,76.3,rain,0,0,34.6,21.9,50.5,1021.2,51.2,9.5,38.6,54.9,1
